Run,T_in(°C),Q(mL/min),Cs(%),AA_ret(%),AA_sd,d(µm),t_res(s),T_out(°C),Tg(°C),T-Tg(°C)
1,120.00,5.00,20.00,87.96,6.74,33.48,3.18,102.16,106.48,-4.32
2,180.00,5.00,20.00,71.66,12.04,36.57,2.99,159.44,106.48,52.95
3,120.00,15.00,20.00,88.22,6.82,47.34,2.50,66.48,106.48,-40.00
4,180.00,15.00,20.00,69.21,14.46,48.99,2.63,118.31,106.48,11.83
5,120.00,10.00,15.00,87.25,6.82,38.34,3.07,82.09,115.47,-33.38
6,180.00,10.00,15.00,70.55,13.62,38.37,2.81,136.30,115.47,20.83
7,120.00,10.00,25.00,87.31,6.61,44.37,2.93,86.55,97.95,-11.40
8,180.00,10.00,25.00,71.53,12.22,43.96,2.63,141.45,97.95,43.50
9,150.00,5.00,15.00,80.69,10.44,32.19,3.28,129.60,115.47,14.13
10,150.00,15.00,15.00,80.49,9.89,42.63,2.57,88.80,115.47,-26.68
11,150.00,5.00,25.00,81.74,9.30,38.01,2.86,132.00,97.95,34.05
12,150.00,15.00,25.00,80.54,9.49,48.42,2.52,96.00,97.95,-1.95
13,150.00,10.00,20.00,80.04,9.91,42.01,2.93,111.60,106.48,5.11
14,150.00,10.00,20.00,79.52,11.01,41.45,2.98,111.60,106.48,5.11
15,150.00,10.00,20.00,79.23,10.65,42.52,3.00,111.60,106.48,5.11
