Run,T_in,Q,Cs,AA_nominal,AA_MC_mean,AA_MC_std,CI95_lo,CI95_hi
1,120.000,5.000,20.000,87.959,89.733,3.898,80.360,95.405
2,180.000,5.000,20.000,71.662,73.874,8.314,54.762,87.039
3,120.000,15.000,20.000,88.220,87.277,4.761,75.884,94.271
4,180.000,15.000,20.000,69.215,68.225,9.638,46.455,83.880
5,120.000,10.000,15.000,87.254,88.510,4.325,78.138,94.835
6,180.000,10.000,15.000,70.546,71.105,8.974,50.647,85.497
7,120.000,10.000,25.000,87.314,88.359,4.390,77.831,94.778
8,180.000,10.000,25.000,71.532,70.622,9.108,49.886,85.251
9,150.000,5.000,15.000,80.692,83.477,5.823,69.704,92.256
10,150.000,15.000,15.000,80.488,79.396,7.052,62.874,90.208
11,150.000,5.000,25.000,81.736,82.983,5.991,68.824,92.025
12,150.000,15.000,25.000,80.540,79.288,7.103,62.639,90.174
13,150.000,10.000,20.000,80.044,81.143,6.544,65.743,91.099
14,150.000,10.000,20.000,79.520,81.143,6.544,65.743,91.099
15,150.000,10.000,20.000,79.225,81.143,6.544,65.743,91.099
